Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
6/9/2022,116.15,131.44,127.65,141.79,0.75,60.93,-0.042,67029800
6/10/2022,109.65,130.31,126.95,141.3,0.74,52.29,-0.056,87266000
6/13/2022,103.67,129.12,126.04,140.77,0.75,49.55,-0.055,99277700
6/14/2022,102.31,127.9,125.11,140.28,0.76,45.23,-0.013,69728800
6/15/2022,107.67,126.68,124.42,139.93,0.76,46.44,0.052,85011100
6/16/2022,103.66,125.48,123.61,139.52,0.76,37.99,-0.037,82186300
6/17/2022,106.22,124.42,122.93,139.18,0.77,34.56,0.025,99772100
6/21/2022,108.68,123.44,122.37,138.88,0.79,35.96,0.023,70901200
6/22/2022,108.95,122.53,121.84,138.57,0.79,30.63,0.002,60040100
6/23/2022,112.44,121.76,121.47,138.26,0.79,38.5,0.032,64345300
6/24/2022,116.46,121.07,121.28,137.93,0.78,40.67,0.036,69867600
6/27/2022,113.22,120.23,120.96,137.55,0.77,39.39,-0.028,62133200
6/28/2022,107.4,119.34,120.43,137.12,0.76,36.25,-0.051,74942900
6/29/2022,108.92,118.46,119.98,136.82,0.79,42.24,0.014,66375300
6/30/2022,106.21,117.42,119.44,136.3,0.78,45.98,-0.025,97679400
7/1/2022,109.56,116.54,119.05,135.82,0.78,57.33,0.032,73021200
7/5/2022,113.5,115.84,118.83,135.34,0.79,63.09,0.036,76583700
7/6/2022,114.33,115.24,118.66,134.87,0.79,58.71,0.007,66958900
7/7/2022,116.33,114.64,118.56,134.44,0.8,67.5,0.017,57872300
7/8/2022,115.54,114.17,118.45,134.07,0.8,63.53,-0.007,45719700
7/11/2022,111.75,113.64,118.18,133.63,0.79,54.29,-0.033,53487600
7/12/2022,109.22,112.93,117.83,133.16,0.79,50.35,-0.023,54280300
7/13/2022,110.4,112.65,117.54,132.68,0.78,47.14,0.011,61353800
7/14/2022,110.63,112.38,117.27,132.24,0.78,40.87,0.002,51163100
7/15/2022,113.55,112.16,117.12,131.85,0.77,50.52,0.026,84317800
7/18/2022,113.76,111.92,116.99,131.49,0.78,62.23,0.002,59115400
7/19/2022,118.21,111.96,117.04,131.22,0.78,66.06,0.039,60990000
7/20/2022,122.77,112.11,117.26,130.94,0.79,76.9,0.039,71268300
7/21/2022,124.63,112.43,117.55,130.64,0.78,75.73,0.015,60239900
7/22/2022,122.42,112.7,117.74,130.33,0.78,66.18,-0.018,51463800
7/25/2022,121.14,113.02,117.88,130.03,0.77,62.16,-0.01,50221300
7/26/2022,114.81,113.18,117.76,129.66,0.75,47.65,-0.052,67075100
7/27/2022,120.97,113.33,117.88,129.39,0.76,57.2,0.054,61582000
7/28/2022,122.28,113.56,118.06,129.16,0.78,64.94,0.011,82245500
7/29/2022,134.95,113.96,118.72,129.13,0.79,78.36,0.104,148892900
8/1/2022,135.39,114.52,119.37,129.13,0.79,78,0.003,76846900
