Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
4/8/2021,164.96,158.45,157.59,158.76,0.94,74.73,0.006,56242000,156.65,156.2500614
4/9/2021,168.61,158.59,158.03,158.89,0.95,76.64,0.022,86830000,157.08,156.4160491
4/12/2021,168.97,158.73,158.45,159.02,0.94,75.67,0.002,65636000,157.51,156.6348393
4/13/2021,170,158.93,158.91,159.15,0.94,85.46,0.006,66316000,157.97,156.9018714
4/14/2021,166.65,158.92,159.21,159.25,0.89,80.67,-0.02,62904000,158.32,157.1854971
4/15/2021,168.95,158.91,159.59,159.39,0.89,82.21,0.014,64672000,158.7,157.4883977
4/16/2021,169.97,159,160,159.53,0.88,82.09,0.006,63720000,159.12,157.8147182
4/19/2021,168.6,159.04,160.34,159.66,0.86,80.97,-0.008,54508000,159.48,158.1477745
4/20/2021,166.73,159.03,160.59,159.78,0.82,73.59,-0.011,52460000,159.77,158.4722196
4/21/2021,168.1,159.06,160.88,159.9,0.81,71.37,0.008,44224000,160.07,158.7917757
4/22/2021,165.45,159.07,161.06,159.96,0.82,58.99,-0.016,51612000,160.24,159.0814206
4/23/2021,167.04,159.12,161.3,160.04,0.82,62.03,0.01,63856000,160.48,159.3611364
4/26/2021,170.45,159.27,161.66,160.16,0.81,62.99,0.02,97614000,160.85,159.6589092
4/27/2021,170.87,159.41,162.02,160.26,0.82,62.11,0.002,76542000,161.2,159.9671273
4/28/2021,172.93,159.6,162.44,160.38,0.82,59.47,0.012,92638000,161.62,160.2977019
4/29/2021,173.57,159.76,162.88,160.53,0.83,59.96,0.004,153648000,162.05,160.6481615
4/30/2021,173.37,159.9,163.29,160.68,0.82,57.58,-0.001,140186000,162.47,161.0125292
5/3/2021,169.32,160.04,163.53,160.79,0.84,55.83,-0.023,117510000,162.69,161.3480234
5/4/2021,165.59,160.17,163.61,160.86,0.84,43.1,-0.022,108788000,162.77,161.6324187
5/5/2021,163.53,160.24,163.61,160.94,0.85,37.32,-0.012,74226000,162.76,161.8579349
5/6/2021,165.32,160.39,163.67,161.05,0.83,43.65,0.011,88954000,162.84,162.054348
5/7/2021,164.58,160.63,163.71,161.13,0.84,45.64,-0.004,94206000,162.87,162.2174784
5/10/2021,159.52,160.72,163.55,161.15,0.84,34.89,-0.031,116772000,162.71,162.3159827
5/11/2021,161.2,160.8,163.45,161.18,0.84,42.24,0.01,92396000,162.61,162.3747862
5/12/2021,157.6,160.86,163.22,161.14,0.85,33.94,-0.022,98728000,162.37,162.3738289
5/13/2021,158.07,161.01,163.02,161.1,0.87,26.64,0.003,67018000,162.15,162.3290631
5/14/2021,161.15,161.26,162.95,161.11,0.86,33.31,0.019,66500000,162.09,162.2812505
5/17/2021,163.52,161.53,162.97,161.14,0.87,34.03,0.015,74478000,162.1,162.2450004
5/18/2021,161.61,161.81,162.92,161.15,0.86,30.55,-0.012,56568000,162.06,162.2080003
5/19/2021,161.59,161.98,162.87,161.18,0.86,30.72,0,53594000,162.01,162.1684003
5/20/2021,162.38,162.17,162.85,161.21,0.86,37.29,0.005,52664000,161.99,162.1327202
5/21/2021,160.15,162.26,162.74,161.17,0.87,39.46,-0.014,82098000,161.87,162.0801762
5/24/2021,162.25,162.41,162.72,161.14,0.86,47.53,0.013,48456000,161.86,162.0361409
5/25/2021,162.95,162.59,162.73,161.12,0.88,45.22,0.004,65222000,161.85,161.9989127
5/26/2021,163.26,162.77,162.75,161.13,0.87,47.28,0.002,47680000,161.88,161.9751302
5/27/2021,161.51,162.86,162.7,161.15,0.87,54.72,-0.011,51224000,161.83,161.9461042
5/28/2021,161.15,163.05,162.64,161.15,0.87,49.89,-0.002,46596000,161.77,161.9108833
6/1/2021,160.93,163.2,162.57,161.19,0.86,60.23,-0.001,48600000,161.71,161.8707067
6/2/2021,161.7,163.32,162.54,161.23,0.85,60.92,0.005,40290000,161.69,161.8345653
6/3/2021,159.35,163.37,162.42,161.23,0.84,44.35,-0.015,47966000,161.58,161.7836523
6/4/2021,160.31,163.49,162.33,161.27,0.84,38.91,0.006,44994000,161.49,161.7249218
6/7/2021,159.9,163.64,162.24,161.31,0.83,43.39,-0.003,44316000,161.41,161.6619374
6/8/2021,163.21,163.85,162.28,161.36,0.84,54.97,0.021,68334000,161.44,161.61755
6/9/2021,164.06,164.06,162.35,161.44,0.84,55.13,0.005,49110000,161.51,161.59604
6/10/2021,167.48,164.35,162.55,161.56,0.84,70.94,0.021,69530000,161.71,161.618832
6/11/2021,167.34,164.61,162.73,161.67,0.84,66.38,-0.001,56348000,161.89,161.6730656
6/14/2021,169.19,164.83,162.99,161.73,0.84,68.69,0.011,51394000,162.15,161.7684525
