date,close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,volume
3/4/2022,161.11,168.31,165.38,161.55,161.45,40.59,-0.018,83737200
3/7/2022,157.29,167.99,165.06,161.72,161.37,27.75,-0.024,96418800
3/8/2022,155.45,167.63,164.69,161.88,161.25,26.34,-0.012,131148300
3/9/2022,160.89,167.29,164.54,162.1,161.25,41.22,0.035,91454900
3/10/2022,156.52,166.88,164.22,162.24,161.15,38.01,-0.027,105342000
3/11/2022,152.77,166.4,163.77,162.34,160.99,37.19,-0.024,96970100
3/14/2022,148.72,165.86,163.18,162.39,160.74,37.33,-0.027,108732100
3/15/2022,153.13,165.42,162.79,162.45,160.59,40.21,0.03,92964300
3/16/2022,157.57,164.98,162.59,162.56,160.53,43.66,0.029,102300200
3/17/2022,158.59,164.61,162.43,162.67,160.49,44.67,0.006,75615400
3/18/2022,161.91,164.4,162.41,162.83,160.52,50.89,0.021,123511700
3/21/2022,163.29,164.27,162.44,162.99,160.58,48.59,0.009,95811400
3/22/2022,166.69,164.21,162.61,163.19,160.7,52.89,0.021,81532000
3/23/2022,168.06,164.17,162.82,163.4,160.84,58.16,0.008,98062700
3/24/2022,171.87,164.16,163.18,163.61,161.06,67.11,0.023,90131400
3/25/2022,172.51,164.15,163.54,163.86,161.29,70.6,0.004,80546200
3/28/2022,173.38,164.22,163.93,164.13,161.53,66.95,0.005,90371900
3/29/2022,176.7,164.34,164.43,164.41,161.83,78.2,0.019,100589400
3/30/2022,175.52,164.5,164.87,164.67,162.1,84.24,-0.007,92633200
3/31/2022,172.4,164.67,165.16,164.91,162.3,86.69,-0.018,103049300
4/1/2022,172.11,164.87,165.43,165.14,162.5,83.7,-0.002,78751300
4/4/2022,176.18,165.19,165.85,165.41,162.77,83.48,0.024,76468400
4/5/2022,172.85,165.46,166.13,165.65,162.97,73.67,-0.019,73401800
4/6/2022,169.66,165.7,166.27,165.89,163.1,62.92,-0.018,89058800
4/7/2022,169.96,165.95,166.41,166.13,163.24,61.54,0.002,77594700
4/8/2022,167.94,166.17,166.47,166.32,163.33,52.28,-0.012,76575500
4/11/2022,163.66,166.08,166.36,166.48,163.34,42.77,-0.026,72246700
4/12/2022,165.54,165.95,166.33,166.64,163.38,38.91,0.012,79265200
4/13/2022,168.25,165.87,166.4,166.81,163.48,43.03,0.016,70618900
4/14/2022,163.2,165.66,166.28,166.89,163.47,35.36,-0.03,75329400
4/18/2022,162.98,165.51,166.15,166.93,163.46,28.34,-0.001,69023900
4/19/2022,165.28,165.41,166.12,167,163.5,34.39,0.014,67723800
4/20/2022,165.12,165.33,166.08,167.06,163.53,37.79,-0.001,67929800
4/21/2022,164.32,165.16,166.01,167.1,163.55,37.16,-0.005,87227800
4/22/2022,159.75,164.88,165.76,167.15,163.47,23.34,-0.028,84882400
4/25/2022,160.82,164.69,165.57,167.18,163.42,28.96,0.007,96046400
4/26/2022,154.82,164.46,165.15,167.1,163.25,26.36,-0.037,95623200
4/27/2022,154.59,164.22,164.73,167.02,163.08,25.45,-0.001,88063200
4/28/2022,161.57,164.04,164.61,167.02,163.05,41.22,0.045,130216800
4/29/2022,155.66,163.74,164.26,166.98,162.9,39.45,-0.037,131747600
5/2/2022,155.96,163.53,163.93,166.91,162.76,36.81,0.002,123055300
5/3/2022,157.46,163.37,163.68,166.8,162.66,34.65,0.01,88966500
5/4/2022,163.92,163.4,163.69,166.71,162.68,50.99,0.041,108256500
5/5/2022,154.79,163.34,163.34,166.54,162.53,40.98,-0.056,130525300
5/6/2022,155.52,163.24,163.03,166.33,162.39,38.87,0.003,116124600
5/9/2022,150.36,162.99,162.54,166.1,162.15,34.9,-0.033,131577900
5/10/2022,152.78,162.78,162.15,165.91,161.96,38.58,0.016,115366700
5/11/2022,144.86,162.46,161.48,165.6,161.63,36.18,-0.052,142689800
5/12/2022,140.97,161.99,160.67,165.31,161.22,32.48,-0.027,182602000
5/13/2022,145.46,161.61,160.07,165.08,160.9,41.52,0.032,113990900
5/16/2022,143.91,161.27,159.44,164.85,160.57,40.55,-0.011,86643800
5/17/2022,147.57,161.08,158.98,164.62,160.31,36.83,0.025,78336300
5/18/2022,139.24,160.75,158.2,164.28,159.89,35.23,-0.056,109742900
5/19/2022,135.81,160.25,157.32,163.91,159.42,32.83,-0.025,136095600
5/20/2022,136.05,159.84,156.49,163.49,158.95,31.36,0.002,137426100
5/23/2022,141.51,159.62,155.9,163.14,158.61,30.14,0.04,117726300
5/24/2022,138.79,159.42,155.23,162.77,158.22,34.01,-0.019,104132700
5/25/2022,138.95,159.13,154.59,162.4,157.83,33.24,0.001,92482700
5/26/2022,142.17,158.83,154.11,162.08,157.52,41.38,0.023,90601500
5/27/2022,147.97,158.61,153.86,161.77,157.33,45.27,0.041,90978500
5/31/2022,147.17,158.32,153.6,161.47,157.13,52.64,-0.005,103718400
6/1/2022,147.05,157.99,153.35,161.22,156.93,57.61,-0.001,74286600
6/2/2022,149.52,157.65,153.19,161.02,156.79,55.34,0.017,72348100
6/3/2022,143.75,157.16,152.82,160.76,156.53,49.81,-0.039,88570300
6/6/2022,144.51,156.62,152.5,160.51,156.29,46.1,0.005,71598400
6/7/2022,147.05,156.11,152.28,160.26,156.11,61.65,0.018,67808200
6/8/2022,146.3,155.57,152.05,159.99,155.91,67.04,-0.005,53950200
6/9/2022,141.04,154.85,151.62,159.71,155.62,56.97,-0.036,69473000
6/10/2022,135.6,154.05,150.99,159.36,155.22,41.74,-0.039,91437900
6/13/2022,130.4,153.21,150.18,158.99,154.73,39.04,-0.038,122207100
6/14/2022,131.27,152.4,149.44,158.67,154.27,40.16,0.007,84784300
6/15/2022,133.91,151.55,148.83,158.39,153.86,39.25,0.02,91533000
6/16/2022,128.6,150.67,148.04,158.08,153.36,24.47,-0.04,108123900
6/17/2022,130.09,149.88,147.34,157.79,152.9,27.87,0.012,134520300
6/21/2022,134.35,149.16,146.83,157.56,152.54,35.15,0.033,81000500
6/22/2022,133.84,148.48,146.32,157.32,152.17,30.77,-0.004,73409200
6/23/2022,136.72,147.94,145.94,157.12,151.86,40.73,0.022,72433800
6/24/2022,140.08,147.43,145.71,156.85,151.63,44.53,0.025,89116800
6/27/2022,140.08,146.87,145.49,156.53,151.4,40.82,0,70207900
6/28/2022,135.9,146.32,145.11,156.17,151.09,37.43,-0.03,67083400
6/29/2022,137.67,145.82,144.82,155.81,150.82,45.55,0.013,66242400
6/30/2022,135.19,145.22,144.44,155.46,150.52,49.42,-0.018,98964500
7/1/2022,137.38,144.66,144.17,155.14,150.25,60.92,0.016,71051600
7/5/2022,139.98,144.17,144,154.85,150.05,62.93,0.019,73353800
7/6/2022,141.32,143.81,143.9,154.54,149.88,61.44,0.01,74064300
7/7/2022,144.71,143.48,143.93,154.25,149.78,76.45,0.024,66253700
7/8/2022,145.4,143.3,143.99,154,149.69,75.82,0.005,64547800
7/11/2022,143.25,143.07,143.96,153.77,149.56,66.16,-0.015,63141600
7/12/2022,144.23,142.72,143.97,153.55,149.46,68.56,0.007,77588800
7/13/2022,143.86,142.49,143.96,153.28,149.35,64.01,-0.003,71185600
7/14/2022,146.81,142.3,144.08,153.05,149.3,63.43,0.02,78140700
7/15/2022,148.49,142.12,144.25,152.87,149.28,65.73,0.011,76259900
7/18/2022,145.42,141.75,144.3,152.67,149.2,68.57,-0.021,81420900
7/19/2022,149.31,141.64,144.49,152.55,149.21,70.97,0.027,82982400
7/20/2022,151.33,141.56,144.76,152.48,149.25,79.57,0.014,64823400
7/21/2022,153.61,141.62,145.11,152.41,149.33,79.64,0.015,65086600
7/22/2022,152.37,141.62,145.39,152.31,149.39,73.79,-0.008,66675400
7/25/2022,151.24,141.74,145.62,152.19,149.43,69.21,-0.007,53623900
7/26/2022,149.9,141.92,145.79,152.08,149.44,60.92,-0.009,55138700
7/27/2022,155.04,142.11,146.15,151.99,149.55,67.09,0.034,78620700
7/28/2022,155.59,142.35,146.52,151.9,149.67,73.18,0.004,81378700
7/29/2022,160.69,142.61,147.08,151.9,149.89,76.78,0.033,101786900
8/1/2022,159.7,143.02,147.57,151.92,150.08,75.25,-0.006,67829400
8/2/2022,158.22,143.47,147.99,151.95,150.24,69.08,-0.009,59907000
8/3/2022,164.27,144.03,148.63,151.98,150.52,73.02,0.038,82507500
8/4/2022,163.96,144.48,149.23,152.06,150.79,79.39,-0.002,55474100
8/5/2022,163.73,144.98,149.8,152.16,151.04,75.87,-0.003,56697000
8/8/2022,163.25,145.47,150.33,152.31,151.29,72.65,-0.003,60276900
8/9/2022,163.3,145.89,150.83,152.41,151.52,70.11,0,63135500
8/10/2022,167.58,146.28,151.49,152.51,151.84,78.05,0.026,70170500
8/11/2022,166.84,146.67,152.09,152.59,152.14,79.17,-0.004,57149200
8/12/2022,170.41,147.14,152.81,152.67,152.5,85.39,0.021,68039400
8/15/2022,171.49,147.58,153.54,152.75,152.88,83.01,0.006,54091700
8/16/2022,171.33,148.13,154.24,152.8,153.24,82.09,-0.001,56377100
8/17/2022,172.84,148.7,154.97,152.85,153.63,79.01,0.009,79542000
8/18/2022,172.44,149.21,155.66,152.85,154,81.32,-0.002,62290100
8/19/2022,169.84,149.68,156.21,152.83,154.32,77.07,-0.015,70346300
8/22/2022,165.93,150.18,156.59,152.75,154.55,54.28,-0.023,69026800
8/23/2022,165.59,150.77,156.95,152.64,154.76,54.22,-0.002,54147100
8/24/2022,165.89,151.48,157.3,152.55,154.98,55.56,0.002,53841500
8/25/2022,168.36,152.23,157.73,152.51,155.25,61.93,0.015,51218200
8/26/2022,162.01,152.79,157.9,152.41,155.38,47.68,-0.038,78961000
8/29/2022,159.8,153.41,157.97,152.25,155.47,34.83,-0.014,73314000
8/30/2022,157.35,153.96,157.95,152.09,155.51,32.66,-0.015,77906200
8/31/2022,155.68,154.38,157.86,151.95,155.51,21.05,-0.011,87991100
9/1/2022,156.41,154.84,157.8,151.82,155.53,19.96,0.005,74229900
9/2/2022,154.28,155.19,157.66,151.68,155.5,18.51,-0.014,76957800
9/6/2022,153.01,155.45,157.48,151.58,155.46,13.06,-0.008,73714800
9/7/2022,154.43,155.73,157.36,151.47,155.43,17.67,0.009,87449600
9/8/2022,152.94,156.07,157.19,151.32,155.39,18.41,-0.01,84923800
9/9/2022,155.83,156.44,157.14,151.24,155.39,30.35,0.019,68028800
9/12/2022,161.83,156.97,157.32,151.23,155.52,44,0.039,104956000
9/13/2022,152.33,157.27,157.12,151.1,155.46,33.29,-0.059,122656600
9/14/2022,153.79,157.54,156.99,150.99,155.43,31.57,0.01,87965400
9/15/2022,150.87,157.74,156.75,150.86,155.34,34.58,-0.019,90481100
9/16/2022,149.22,157.83,156.46,150.76,155.21,35.13,-0.011,162278800
9/19/2022,152.96,157.98,156.32,150.68,155.17,44.05,0.025,81474200
9/20/2022,155.36,158.22,156.28,150.68,155.17,49.58,0.016,107689800
9/21/2022,152.21,158.38,156.12,150.66,155.11,44.75,-0.02,101696800
9/22/2022,151.24,158.53,155.93,150.56,155.04,46.09,-0.006,86652500
