Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
5/5/2022,18.844,23.23,22.69,24.82,23.78,36.46,-0.073,626331000
5/6/2022,18.675,23.13,22.54,24.72,23.68,33.39,-0.009,633297000
5/9/2022,16.95,22.98,22.32,24.61,23.55,30.49,-0.092,644455000
5/10/2022,17.595,22.85,22.13,24.48,23.43,38.19,0.038,761474000
5/11/2022,16.63,22.71,21.92,24.36,23.3,37.19,-0.055,670167000
5/12/2022,16.175,22.55,21.69,24.25,23.16,33.55,-0.027,708728000
5/13/2022,17.706,22.43,21.53,24.15,23.05,45.39,0.095,670437000
5/16/2022,17.264,22.32,21.37,24.03,22.93,45.13,-0.025,521446000
5/17/2022,18.177,22.25,21.24,23.92,22.84,42.93,0.053,585830000
5/18/2022,16.938,22.16,21.07,23.79,22.72,42.92,-0.068,545161000
5/19/2022,17.124,22.04,20.92,23.65,22.61,38.59,0.011,621310000
5/20/2022,16.694,21.92,20.75,23.51,22.49,36.69,-0.025,739105000
5/23/2022,16.898,21.82,20.6,23.38,22.38,33.47,0.012,639889000
5/24/2022,16.154,21.72,20.43,23.25,22.26,36.06,-0.044,588550000
5/25/2022,16.975,21.6,20.29,23.12,22.16,41.75,0.051,781132000
5/26/2022,17.851,21.46,20.2,23,22.07,54.77,0.052,996575000
5/27/2022,18.811,21.34,20.14,22.9,22.01,56.23,0.054,738379000
5/31/2022,18.672,21.19,20.08,22.81,21.94,61.42,-0.007,664100000
6/1/2022,18.32,21.02,20.01,22.71,21.87,62.14,-0.019,544514000
6/2/2022,19.592,20.88,20,22.63,21.82,60.99,0.069,648656000
6/3/2022,18.72,20.74,19.95,22.55,21.76,58.08,-0.045,598779000
6/6/2022,18.786,20.56,19.9,22.46,21.7,53.73,0.004,422406000
6/7/2022,18.926,20.38,19.86,22.36,21.65,64.08,0.007,388914000
6/8/2022,18.648,20.19,19.82,22.29,21.59,60.65,-0.015,363252000
6/9/2022,18.048,19.98,19.75,22.2,21.52,59.24,-0.032,395574000
6/10/2022,16.974,19.76,19.64,22.11,21.43,50.46,-0.06,465248000
6/13/2022,15.647,19.53,19.48,22.01,21.31,47.11,-0.078,604153000
6/14/2022,15.836,19.31,19.34,21.93,21.21,43.01,0.012,469680000
6/15/2022,16.527,19.1,19.23,21.86,21.11,41.68,0.044,563936000
6/16/2022,15.601,18.89,19.09,21.78,21,29.75,-0.056,545749000
6/17/2022,15.88,18.72,18.96,21.72,20.9,32.69,0.018,630334000
6/21/2022,16.566,18.57,18.87,21.66,20.82,39.56,0.043,483089000
6/22/2022,16.36,18.43,18.77,21.6,20.73,27.97,-0.012,437135000
6/23/2022,16.225,18.32,18.67,21.53,20.64,31.09,-0.008,463680000
6/24/2022,17.126,18.23,18.61,21.46,20.57,38.83,0.056,472153000
6/27/2022,16.869,18.12,18.54,21.38,20.5,36.38,-0.015,427968000
6/28/2022,15.982,18.02,18.44,21.29,20.41,33.66,-0.053,461149000
6/29/2022,15.542,17.89,18.33,21.21,20.31,34.33,-0.028,482352000
6/30/2022,15.159,17.75,18.2,21.12,20.21,37.58,-0.025,686070000
7/1/2022,14.523,17.61,18.06,21.01,20.1,41.51,-0.042,577610000
7/5/2022,14.964,17.51,17.94,20.91,19.99,43.65,0.03,651397000
7/6/2022,15.13,17.42,17.83,20.8,19.9,38.99,0.011,529066000
7/7/2022,15.858,17.34,17.75,20.7,19.82,52.09,0.048,492903000
7/8/2022,15.838,17.28,17.67,20.62,19.74,49.64,-0.001,467972000
7/11/2022,15.152,17.21,17.58,20.52,19.65,37.99,-0.043,437321000
7/12/2022,15.082,17.12,17.48,20.41,19.56,38.89,-0.005,458483000
7/13/2022,15.164,17.05,17.39,20.3,19.47,40.69,0.005,521918000
7/14/2022,15.372,16.97,17.31,20.21,19.39,32.47,0.014,456235000
7/15/2022,15.762,16.89,17.25,20.13,19.32,39.23,0.025,385935000
7/18/2022,16.101,16.81,17.2,20.05,19.25,51.3,0.022,670517000
7/19/2022,16.992,16.77,17.19,20,19.21,64.38,0.055,702366000
7/20/2022,17.807,16.75,17.22,19.94,19.18,74.2,0.048,760538000
7/21/2022,18.05,16.78,17.25,19.88,19.16,84.72,0.014,557049000
7/22/2022,17.319,16.77,17.25,19.81,19.12,71.93,-0.04,536671000
7/25/2022,17.024,16.78,17.24,19.74,19.08,67.22,-0.017,480748000
7/26/2022,16.533,16.79,17.22,19.67,19.03,56.42,-0.029,397865000
7/27/2022,17.79,16.79,17.24,19.61,19.01,65.02,0.076,569776000
7/28/2022,17.984,16.8,17.27,19.56,18.99,73.58,0.011,474646000
7/29/2022,18.163,16.8,17.3,19.53,18.97,75.19,0.01,435460000
8/1/2022,18.441,16.83,17.35,19.5,18.96,75.96,0.015,476469000
8/2/2022,18.526,16.86,17.39,19.45,18.95,75.48,0.005,489527000
8/3/2022,18.893,16.9,17.45,19.41,18.95,75.39,0.02,418146000
8/4/2022,19.215,16.95,17.52,19.38,18.95,75.33,0.017,409652000
8/5/2022,18.989,17.01,17.58,19.36,18.96,68.21,-0.012,386068000
8/8/2022,17.793,17.02,17.59,19.31,18.93,49.88,-0.063,981859000
8/9/2022,17.086,17.01,17.57,19.24,18.9,42.38,-0.04,668263000
8/10/2022,18.097,16.99,17.59,19.17,18.88,55.89,0.059,597422000
8/11/2022,17.942,16.98,17.6,19.08,18.86,57.1,-0.009,509327000
8/12/2022,18.709,16.99,17.65,19,18.86,66.13,0.043,478094000
8/15/2022,19.032,16.98,17.7,18.93,18.86,60.69,0.017,457666000
8/16/2022,18.879,16.98,17.75,18.86,18.86,57.76,-0.008,451240000
8/17/2022,18.335,16.97,17.77,18.76,18.85,51.4,-0.029,446799000
8/18/2022,18.773,16.97,17.81,18.67,18.85,52.64,0.024,415447000
8/19/2022,17.849,16.95,17.81,18.57,18.83,45.25,-0.049,441588000
8/22/2022,17.034,16.93,17.78,18.45,18.79,37.74,-0.046,409593000
8/23/2022,17.181,16.93,17.76,18.35,18.76,36.27,0.009,369986000
8/24/2022,17.222,16.97,17.74,18.25,18.73,37.76,0.002,522661000
8/25/2022,17.913,17.01,17.74,18.16,18.72,50.89,0.04,770691000
8/26/2022,16.26,17,17.68,18.05,18.67,44.61,-0.092,769127000
8/29/2022,15.801,17.01,17.61,17.95,18.61,33.85,-0.028,496132000
8/30/2022,15.468,17,17.53,17.86,18.55,33.03,-0.021,530181000
8/31/2022,15.094,16.97,17.43,17.77,18.48,23.79,-0.024,573710000
9/1/2022,13.937,16.92,17.29,17.67,18.39,17.04,-0.077,1178865000
9/2/2022,13.647,16.87,17.15,17.59,18.3,16.74,-0.021,743157000
9/6/2022,13.465,16.79,17.01,17.51,18.2,17.55,-0.013,535751000
9/7/2022,13.714,16.73,16.88,17.43,18.11,15.42,0.018,512657000
9/8/2022,13.99,16.69,16.76,17.35,18.03,21.06,0.02,624873000
9/9/2022,14.387,16.67,16.67,17.28,17.96,28.82,0.028,486612000
9/12/2022,14.505,16.66,16.59,17.2,17.89,28.49,0.008,484159000
9/13/2022,13.131,16.63,16.45,17.12,17.8,22.92,-0.095,714956000
9/14/2022,13.128,16.59,16.32,17.05,17.7,15.15,0,588507000
