Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
3/9/2022,282.86,298.28,295.76,310.06,298.94,48.51,0.046,35204500
3/10/2022,280.01,297.2,295.14,309.89,298.57,48.44,-0.01,30628000
3/11/2022,274.6,296,294.34,309.64,298.09,45.25,-0.019,27209300
3/14/2022,271.04,294.78,293.42,309.34,297.56,47.5,-0.013,30660700
3/15/2022,281.54,293.83,292.96,309.15,297.24,44.91,0.039,34245100
3/16/2022,288.64,293.05,292.79,309,297.07,48.12,0.025,37826300
3/17/2022,289.45,292.41,292.66,308.88,296.92,47.68,0.003,30816600
3/18/2022,294.56,292.11,292.73,308.81,296.87,53.5,0.018,43390600
3/21/2022,293.31,291.83,292.75,308.72,296.8,49.31,-0.004,28351200
3/22/2022,298.12,291.65,292.96,308.54,296.83,55.43,0.016,27599700
3/23/2022,293.64,291.37,292.99,308.31,296.76,56.56,-0.015,25715400
3/24/2022,298.16,291.17,293.19,308.05,296.79,68.77,0.015,24484500
3/25/2022,297.74,290.9,293.37,307.81,296.81,71.58,-0.001,22566500
3/28/2022,304.63,291.02,293.81,307.61,296.96,68.86,0.023,29578200
3/29/2022,309.25,291.14,294.42,307.44,297.21,74.59,0.015,30393400
3/30/2022,307.73,291.37,294.94,307.23,297.42,79.81,-0.005,28163600
3/31/2022,302.28,291.48,295.23,306.97,297.51,77.2,-0.018,33422100
4/1/2022,303.37,291.65,295.55,306.71,297.63,72.73,0.004,27110500
4/4/2022,308.81,292.03,296.07,306.52,297.85,71.75,0.018,24289600
4/5/2022,304.8,292.33,296.41,306.34,297.99,65.49,-0.013,23156700
4/6/2022,293.65,292.55,296.3,306.03,297.9,49.18,-0.037,40110400
4/7/2022,295.48,292.66,296.27,305.69,297.85,51.93,0.006,31411200
4/8/2022,291.17,292.61,296.07,305.32,297.72,43.76,-0.015,24361900
4/11/2022,279.68,292.17,295.43,304.8,297.36,38.88,-0.039,34569300
4/12/2022,276.55,291.62,294.69,304.25,296.95,32.38,-0.011,30966700
4/13/2022,282,291.22,294.19,303.73,296.66,38.14,0.02,21907200
4/14/2022,274.36,290.57,293.41,303.12,296.21,27.46,-0.027,28221600
4/18/2022,275.04,290.18,292.69,302.54,295.8,22.93,0.002,20778000
4/19/2022,279.72,289.78,292.18,302.04,295.48,28.9,0.017,22297700
4/20/2022,280.76,289.51,291.73,301.54,295.19,32.63,0.004,22906700
4/21/2022,275.32,289.06,291.09,301.07,294.79,28.85,-0.019,29454600
4/22/2022,268.67,288.34,290.21,300.46,294.27,20.27,-0.024,29405800
4/25/2022,275.23,287.93,289.62,299.98,293.9,28.9,0.024,35678900
4/26/2022,264.94,287.45,288.66,299.4,293.32,29.26,-0.037,46518400
4/27/2022,277.68,287.23,288.23,298.95,293.01,38.89,0.048,63477700
4/28/2022,283.97,287.03,288.06,298.63,292.84,45.62,0.023,33646600
4/29/2022,272.1,286.6,287.43,298.16,292.42,45.4,-0.042,37073900
5/2/2022,278.91,286.48,287.1,297.67,292.16,51.37,0.025,35151100
5/3/2022,276.27,286.36,286.67,297.15,291.84,46.56,-0.009,25978600
5/4/2022,284.31,286.4,286.58,296.74,291.69,55.94,0.029,33599300
5/5/2022,271.93,286.35,286.01,296.11,291.3,48.37,-0.044,43260400
5/6/2022,269.36,285.96,285.35,295.48,290.87,44.45,-0.009,37780300
5/9/2022,259.41,285.31,284.34,294.86,290.24,39.56,-0.037,47726000
5/10/2022,264.23,284.74,283.55,294.23,289.73,44.54,0.019,39336400
5/11/2022,255.46,284.07,282.45,293.6,289.05,43.63,-0.033,48975900
5/12/2022,250.36,283.19,281.19,292.94,288.28,37.84,-0.02,51033800
5/13/2022,256.02,282.5,280.2,292.37,287.65,45.43,0.023,34925100
5/16/2022,256.39,281.95,279.27,291.73,287.03,37.51,0.001,32550900
5/17/2022,261.61,281.71,278.57,291.09,286.52,36.72,0.02,28828800
5/18/2022,249.69,281.3,277.44,290.31,285.79,36.71,-0.048,31356000
5/19/2022,248.77,280.61,276.32,289.45,285.06,30.77,-0.004,32692300
5/20/2022,248.2,279.98,275.22,288.59,284.33,31.6,-0.002,39199300
5/23/2022,256.15,279.61,274.47,287.81,283.77,31.52,0.032,33175400
5/24/2022,255.14,279.29,273.71,287.04,283.21,37.05,-0.004,29043900
5/25/2022,257.99,278.82,273.09,286.33,282.71,41.27,0.011,28547900
5/26/2022,261.31,278.27,272.63,285.66,282.28,51.63,0.013,25002100
5/27/2022,268.52,277.86,272.47,285.13,282.01,53.52,0.028,26910800
5/31/2022,267.18,277.31,272.26,284.71,281.72,60.96,-0.005,37827700
6/1/2022,267.72,276.8,272.08,284.31,281.44,67.75,0.002,25292200
6/2/2022,269.84,276.23,272,283.94,281.21,65.24,0.008,44008200
6/3/2022,265.36,275.66,271.74,283.52,280.9,59.07,-0.017,28059000
6/6/2022,264.11,274.98,271.44,283.08,280.56,52.75,-0.005,22400300
6/7/2022,267.8,274.38,271.29,282.64,280.31,74.29,0.014,22860700
6/8/2022,265.74,273.61,271.08,282.32,280.02,72.1,-0.008,17372300
6/9/2022,260.22,272.63,270.65,281.88,279.63,63.86,-0.021,26439700
6/10/2022,248.62,271.44,269.79,281.41,279.02,41.99,-0.045,31422800
6/13/2022,238.08,270.16,268.54,280.82,278.21,34.91,-0.042,46135800
6/14/2022,240.27,268.9,267.43,280.27,277.45,34.14,0.009,28651500
6/15/2022,247.41,267.67,266.65,279.85,276.86,38.36,0.03,33111700
6/16/2022,240.74,266.39,265.63,279.36,276.14,26.52,-0.027,33169200
6/17/2022,243.38,265.38,264.76,278.97,275.5,30.31,0.011,43084800
6/21/2022,249.36,264.46,264.16,278.56,274.98,36.07,0.025,29928300
6/22/2022,248.76,263.61,263.55,278.11,274.46,33.62,-0.002,25939900
6/23/2022,254.39,263.11,263.19,277.64,274.06,41.63,0.023,25861400
6/24/2022,263.08,262.84,263.19,277.23,273.84,49.29,0.034,33923200
6/27/2022,260.32,262.4,263.08,276.81,273.58,44.81,-0.01,24615100
6/28/2022,252.05,261.96,262.64,276.26,273.15,41.25,-0.032,27295500
6/29/2022,255.77,261.57,262.37,275.87,272.81,47.09,0.015,20069800
6/30/2022,252.4,261.03,261.98,275.41,272.4,52.77,-0.013,31730900
7/1/2022,255.1,260.51,261.71,275.01,272.06,64.1,0.011,22837700
7/5/2022,258.31,260.17,261.58,274.61,271.79,64.7,0.013,22941000
