Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
7/6/2022,261.61,260.03,261.58,274.19,271.59,62.34,0.013,23824400
7/7/2022,263.77,259.8,261.67,273.86,271.43,71.71,0.008,20859900
7/8/2022,263.04,259.76,261.72,273.61,271.26,69.24,-0.003,19658800
7/11/2022,259.94,259.41,261.65,273.32,271.04,60.97,-0.012,19455200
7/12/2022,249.29,258.72,261.17,272.87,270.61,50.46,-0.041,35868500
7/13/2022,248.36,258.24,260.66,272.42,270.17,44.37,-0.004,29497400
7/14/2022,249.69,257.66,260.23,272.07,269.76,35.52,0.005,25102800
7/15/2022,252.29,257.18,259.92,271.77,269.42,41.28,0.01,29774100
7/18/2022,249.86,256.49,259.53,271.45,269.03,47.28,-0.01,20975000
7/19/2022,255.05,256.15,259.35,271.25,268.75,49.14,0.021,25012600
7/20/2022,257.74,255.92,259.29,270.94,268.54,56.52,0.011,22788300
7/21/2022,260.27,255.94,259.33,270.63,268.37,56.33,0.01,22404700
7/22/2022,255.87,255.77,259.19,270.25,268.12,47.09,-0.017,21881300
7/25/2022,254.36,255.75,259,269.91,267.85,40.99,-0.006,21056000
7/26/2022,247.55,255.69,258.55,269.44,267.45,31.94,-0.027,39348000
7/27/2022,264.1,255.85,258.77,269.18,267.38,50.87,0.067,45994000
7/28/2022,271.64,256.16,259.28,269.05,267.47,58.97,0.029,33459300
7/29/2022,275.89,256.44,259.93,269.08,267.63,72.64,0.016,32152800
8/1/2022,273.21,256.91,260.45,269.1,267.74,70.54,-0.01,21539600
8/2/2022,270.08,257.34,260.83,268.98,267.79,66.36,-0.011,22754200
8/3/2022,277.59,257.93,261.48,268.95,267.99,68.82,0.028,23518900
8/4/2022,278.75,258.38,262.16,268.99,268.2,71.9,0.004,18098700
8/5/2022,278.03,258.84,262.78,269.06,268.39,68.68,-0.003,16774600
8/8/2022,275.48,259.19,263.28,269,268.53,64.46,-0.009,18739200
8/9/2022,277.43,259.51,263.84,268.89,268.71,64.12,0.007,23405200
8/10/2022,284.17,259.82,264.63,268.84,269.02,72.42,0.024,24687800
8/11/2022,282.07,260.12,265.32,268.71,269.27,71.74,-0.007,20065900
8/12/2022,286.87,260.5,266.16,268.65,269.62,81.86,0.017,22619700
8/15/2022,288.4,260.87,267.03,268.55,269.99,76.03,0.005,18085700
8/16/2022,287.66,261.32,267.84,268.49,270.34,70.07,-0.003,18102900
8/17/2022,286.9,261.78,268.59,268.38,270.67,65.12,-0.005,18253400
8/18/2022,285.77,262.13,269.26,268.26,270.97,68.01,-0.004,17186200
8/19/2022,281.81,262.46,269.76,268.03,271.19,66.44,-0.014,20570000
8/22/2022,273.54,262.72,269.9,267.67,271.23,44.43,-0.029,25061100
8/23/2022,272.24,263.19,270,267.32,271.25,41.1,-0.005,17527400
8/24/2022,271.6,263.87,270.06,267.01,271.26,41.2,-0.002,18137000
8/25/2022,274.62,264.55,270.24,266.73,271.33,48.83,0.011,16583400
8/26/2022,264.02,264.88,269.99,266.28,271.18,35.3,-0.039,27549300
8/29/2022,261.21,265.29,269.65,265.84,270.98,22.44,-0.011,20338500
8/30/2022,258.98,265.61,269.23,265.49,270.75,22.38,-0.009,22767100
8/31/2022,257.5,265.77,268.77,265.11,270.48,11.82,-0.006,24791800
9/1/2022,256.45,265.92,268.29,264.77,270.21,7.93,-0.004,23263400
9/2/2022,252.17,265.88,267.66,264.49,269.85,7.26,-0.017,22855400
9/6/2022,249.41,265.6,266.94,264.22,269.44,6.92,-0.011,21328200
9/7/2022,254.17,265.48,266.44,263.94,269.14,16.5,0.019,24126700
9/8/2022,254.6,265.53,265.97,263.75,268.85,18.81,0.002,20319900
9/9/2022,260.45,265.63,265.76,263.6,268.69,34.11,0.023,22084700
9/12/2022,262.6,265.83,265.63,263.43,268.57,38.54,0.008,18747700
9/13/2022,248.17,265.69,264.95,263.1,268.16,29.02,-0.055,33353300
9/14/2022,248.39,265.49,264.3,262.83,267.77,25.29,0.001,23913000
