Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
12/5/2022,182.45,213.37,212.11,250.31,234.05,41.55,-0.064,93122700
12/6/2022,179.82,211.44,210.85,249.71,232.98,44.62,-0.014,92150800
12/7/2022,174.04,209.27,209.4,249.05,231.81,43.28,-0.032,84213300
12/8/2022,173.44,206.98,207.99,248.33,230.66,44.85,-0.003,97624500
12/9/2022,179.05,205.2,206.86,247.64,229.63,59.49,0.032,104872300
12/12/2022,167.82,203.25,205.33,246.6,228.41,48.46,-0.063,109794500
12/13/2022,160.95,201.62,203.59,245.49,227.08,31.95,-0.041,175862700
12/14/2022,156.8,199.77,201.75,244.37,225.68,30.09,-0.026,140682300
12/15/2022,157.67,198.1,200.02,243.36,224.34,30.95,0.006,122334500
12/16/2022,150.23,196.35,198.07,242.12,222.87,28.64,-0.047,139032200
12/19/2022,149.87,194.88,196.18,240.8,221.42,11.43,-0.002,139390600
12/20/2022,137.8,193.18,193.89,239.21,219.77,9.46,-0.081,159563300
12/21/2022,137.57,191.6,191.68,237.61,218.14,9.22,-0.002,145417400
12/22/2022,125.35,189.76,189.08,235.86,216.3,9.25,-0.089,210090300
12/23/2022,123.15,187.79,186.5,234.02,214.46,9.31,-0.018,166989700
12/27/2022,109.1,185.87,183.46,232.02,212.37,8.32,-0.114,208643400
12/28/2022,112.71,183.74,180.69,230.27,210.4,12.47,0.033,221070500
12/29/2022,121.82,181.77,178.38,228.58,208.64,16.1,0.081,221923300
12/30/2022,123.18,179.79,176.21,226.98,206.95,20.06,0.011,157777300
1/3/2023,108.1,177.81,173.54,225.12,204.99,18.07,-0.122,231402800
1/4/2023,113.64,175.8,171.19,223.39,203.19,24.35,0.051,180389000
1/5/2023,110.34,173.78,168.81,221.49,201.35,22.66,-0.029,157986300
1/6/2023,113.06,171.59,166.62,219.53,199.6,27.29,0.025,220911100
1/9/2023,119.77,169.49,164.78,217.66,198.02,32.94,0.059,190284000
1/10/2023,118.85,167.37,162.98,215.81,196.45,37.7,-0.008,167642500
1/11/2023,123.22,165.26,161.42,214.01,195,41.16,0.037,183810800
1/12/2023,123.56,163.18,159.94,212.28,193.59,48.71,0.003,169400900
1/13/2023,122.4,161.07,158.47,210.61,192.18,49.45,-0.009,180714100
1/17/2023,131.49,159.4,157.41,208.96,190.97,67.68,0.074,186477000
1/18/2023,128.78,157.67,156.28,207.28,189.74,62.87,-0.021,195680300
1/19/2023,127.17,156.07,155.14,205.59,188.5,54.87,-0.013,170291900
1/20/2023,133.42,154.79,154.29,204.04,187.41,58.56,0.049,138858100
1/23/2023,143.75,153.84,153.88,202.63,186.55,82.38,0.077,203119200
1/24/2023,143.89,153.17,153.49,201.29,185.7,80.46,0.001,158699100
1/25/2023,144.43,152.24,153.13,199.98,184.89,86.35,0.004,192734300
1/26/2023,160.27,151.53,153.41,198.81,184.4,89.34,0.11,234815100
1/27/2023,177.9,151.27,154.37,197.89,184.27,90.98,0.11,306590600
1/30/2023,166.66,150.71,154.85,196.81,183.92,79.42,-0.063,230878800
1/31/2023,173.22,150.44,155.57,195.7,183.71,79.96,0.039,196813500
2/1/2023,181.41,150.4,156.59,194.63,183.66,81.68,0.047,213806300
2/2/2023,188.27,150.57,157.83,193.51,183.76,83.96,0.038,217448300
2/3/2023,189.98,151.01,159.09,192.37,183.88,82.64,0.009,232662000
2/6/2023,194.76,151.5,160.49,191.39,184.09,85.98,0.025,186188100
2/7/2023,196.81,151.78,161.91,190.34,184.35,87.8,0.011,186010300
2/8/2023,201.29,152.15,163.46,189.31,184.68,87.56,0.023,180673600
2/9/2023,207.32,152.63,165.18,188.35,185.13,86.94,0.03,215431400
2/10/2023,196.89,152.95,166.42,187.23,185.36,77.51,-0.05,204754100
2/13/2023,194.64,152.95,167.53,186.09,185.55,75.6,-0.011,172475500
2/14/2023,209.25,153.24,169.16,185.17,186.02,75.29,0.075,216455700
2/15/2023,214.24,153.63,170.93,184.43,186.57,71.58,0.024,181006400
2/16/2023,202.04,154.02,172.15,183.7,186.88,70.78,-0.057,229586500
2/17/2023,208.31,154.59,173.57,183.02,187.3,70.68,0.031,213738500
2/21/2023,197.37,155.06,174.5,182.16,187.5,59.11,-0.053,180018600
2/22/2023,200.86,155.61,175.54,181.29,187.77,57.47,0.018,191828500
2/23/2023,202.07,156.07,176.58,180.63,188.05,57.22,0.006,146360000
2/24/2023,196.88,156.65,177.37,179.95,188.23,51.26,-0.026,142228100
2/27/2023,207.63,157.58,178.56,179.6,188.61,55.83,0.055,161028300
