Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
4/20/2022,428.11,451.33,459.87,508.58,495.52,37.76,-0.019,2094400
4/21/2022,417.48,449.45,458.21,506.13,493.97,33.1,-0.025,2390100
4/22/2022,408.67,447.19,456.27,503.34,492.28,24.65,-0.021,3198800
4/25/2022,413.95,445.57,454.61,500.79,490.73,30.37,0.013,3368800
4/26/2022,399.12,444.07,452.43,498.2,488.92,30.22,-0.036,2820100
4/27/2022,397.9,442.55,450.29,495.46,487.11,24.41,-0.003,3080700
4/28/2022,410.53,441.17,448.73,493.4,485.6,34.51,0.032,2593900
4/29/2022,395.95,439.53,446.66,491.14,483.82,33.41,-0.036,3033200
5/2/2022,407.29,438.53,445.12,488.72,482.31,41.86,0.029,3010000
5/3/2022,407.58,437.83,443.65,486.26,480.83,39.53,0.001,2196100
5/4/2022,423.35,437.53,442.85,484.17,479.69,51.22,0.039,3330400
5/5/2022,400.51,436.95,441.19,481.63,478.12,40.92,-0.054,3507700
5/6/2022,391.01,435.49,439.22,478.96,476.4,33.31,-0.024,3522200
5/9/2022,376.91,433.72,436.78,476.58,474.43,31.95,-0.036,4324900
5/10/2022,393.03,432.22,435.06,474.2,472.81,41.7,0.043,5334400
5/11/2022,379.33,430.48,432.88,472.34,470.96,40.36,-0.035,3822000
5/12/2022,388.49,428.82,431.14,470.65,469.33,41.84,0.024,4048200
5/13/2022,405.45,427.75,430.13,469.21,468.06,52,0.044,3379300
5/16/2022,402.86,426.77,429.06,467.66,466.77,51.55,-0.006,2645200
5/17/2022,409.65,426.2,428.3,466.12,465.64,49.71,0.017,2614700
5/18/2022,397.88,425.53,427.11,464.4,464.3,50.64,-0.029,2915900
5/19/2022,394.38,424.4,425.82,462.57,462.92,45.49,-0.009,2797200
5/20/2022,399.09,423.6,424.77,460.87,461.65,47.12,0.012,3432400
5/23/2022,406.76,423.41,424.07,459.24,460.57,44.05,0.019,2337500
5/24/2022,398.41,423.15,423.06,457.52,459.33,49.16,-0.021,2630800
5/25/2022,402.5,422.76,422.26,455.88,458.21,54.81,0.01,2726700
5/26/2022,408.6,422.09,421.72,454.32,457.23,64.21,0.015,2419500
5/27/2022,428.22,421.76,421.97,453.06,456.65,65.3,0.048,3560400
5/31/2022,416.48,421.03,421.76,452.08,455.86,66.43,-0.027,7944200
6/1/2022,418.16,420.32,421.62,451.12,455.11,64.05,0.004,3409900
6/2/2022,441.28,419.82,422.39,450.43,454.84,66.03,0.055,3415700
6/3/2022,429.76,419.95,422.68,449.47,454.34,61.15,-0.026,2355300
6/6/2022,429.46,419.9,422.94,448.46,453.85,58.68,-0.001,1563800
6/7/2022,433.42,419.94,423.36,447.47,453.44,66.71,0.009,1611200
6/8/2022,428.84,419.51,423.57,446.59,452.96,66.04,-0.011,1790100
