Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
6/11/2024,462.69,475.61,482.31,522.25,505.48,37.59,0.006,2723700,-23.17,-22.86337333
6/12/2024,459.87,474.83,481.43,520.73,504.58,36.65,-0.006,3647400,-23.15,-22.92069866
6/13/2024,458.74,474.06,480.54,519.28,503.67,39.7,-0.002,8558000,-23.13,-22.96255893
6/14/2024,525.31,474.82,482.3,518.56,504.1,66.21,0.145,14846600,-21.8,-22.73004714
6/17/2024,518.74,475.5,483.73,517.68,504.39,63.68,-0.013,7163800,-20.66,-22.31603771
6/18/2024,522.25,476.26,485.24,516.68,504.74,81.28,0.007,4225900,-19.5,-21.75283017
6/20/2024,522.95,476.86,486.72,515.77,505.11,82.13,0.001,5752400,-18.39,-21.08026414
6/21/2024,533.44,477.79,488.55,514.8,505.67,87.34,0.02,6614100,-17.12,-20.28821131
6/24/2024,524.17,478.59,489.95,513.77,506.03,79.99,-0.017,3067800,-16.08,-19.44656905
6/25/2024,526.88,479.64,491.39,512.86,506.45,79.22,0.005,3144200,-15.06,-18.56925524
6/26/2024,528.66,480.81,492.86,511.86,506.89,79.12,0.003,2931700,-14.03,-17.66140419
6/27/2024,546.76,482.22,494.97,510.98,507.67,80.83,0.034,4734100,-12.7,-16.66912335
6/28/2024,555.54,483.85,497.34,510.23,508.62,85.36,0.016,5084500,-11.28,-15.59129868
7/1/2024,560.01,485.58,499.8,509.76,509.64,85.54,0.008,3070200,-9.84,-14.44103895
7/2/2024,567.71,487.64,502.46,509.28,510.79,88.03,0.014,3054500,-8.33,-13.21883116
7/3/2024,570.15,489.7,505.12,508.82,511.97,88.93,0.004,1664400,-6.85,-11.94506493
7/5/2024,578.34,491.81,507.99,508.34,513.28,81.3,0.014,2808600,-5.29,-10.61405194
7/8/2024,575.4,493.78,510.63,507.97,514.51,84.94,-0.005,3007400,-3.88,-9.267241552
7/9/2024,566.02,495.63,512.81,507.61,515.53,75.17,-0.016,2167600,-2.72,-7.957793242
